"Number of Households by Usage of Cooking Fuel","Number"
"Bio-Gas","5"
"Cow Dung","2179"
"Electricity","0"
"Kerosene","36"
"LP Gas","8"
"Not stated","31"
"Others","93"
"Wood/Firewood","1424"
"Total","3776"
