"Population by Caste/Ethinicity","Number"
"Badi",""
"Female","79"
"Male","53"
"Brahman - Hill",""
"Female","626"
"Male","507"
"Chhetri",""
"Female","8639"
"Male","7052"
"Dalit Others",""
"Female","3081"
"Male","2317"
"Damai/Dholi",""
"Female","207"
"Male","159"
"Kalwar",""
"Female","6"
"Male","7"
"Kami",""
"Female","960"
"Male","769"
"Lohar",""
"Female","36"
"Male","31"
"Magar",""
"Female","7"
"Male","12"
"Others",""
"Female","32"
"Male","16"
"Tamang",""
"Female","20"
"Male","5"
"Thakuri",""
"Female","310"
"Male","218"
