"Number of households by type of outer wall","Number"
"BambooWall","4093"
"Cement Bonded Bricks/Stone Wall","4324"
"Mud Bonded Bricks/Stone Wall","3623"
"Not Stated about Wall","133"
"Other Type Wall","1794"
"Unbaked Bricks","513"
"Wood/Planks","876"
"Total","15356"
