"Population by Caste/Ethinicity","Number"
"Bahing",""
"Female","65"
"Male","55"
"Brahman - Hill",""
"Female","1825"
"Male","1523"
"Chhetri",""
"Female","1364"
"Male","1175"
"Damai/Dholi",""
"Female","371"
"Male","325"
"Ghale",""
"Female","18"
"Male","13"
"Gharti/Bhujel",""
"Female","233"
"Male","182"
"Gurung",""
"Female","51"
"Male","39"
"Kami",""
"Female","495"
"Male","415"
"Magar",""
"Female","256"
"Male","203"
"Newar",""
"Female","119"
"Male","119"
"Others",""
"Female","21"
"Male","17"
"Rai",""
"Female","796"
"Male","697"
"Sanyasi/Dasnami",""
"Female","52"
"Male","47"
"Sarki",""
"Female","171"
"Male","156"
"Sherpa",""
"Female","1065"
"Male","1001"
"Sunuwar",""
"Female","407"
"Male","345"
"Tamang",""
"Female","1403"
"Male","1217"
