"Population by Mother tongue","Number"
"Bahing",""
"Female","483"
"Male","431"
"Magar",""
"Female","121"
"Male","113"
"Maithili",""
"Female","5"
"Male","9"
"Nepali",""
"Female","5052"
"Male","4250"
"Newar",""
"Female","9"
"Male","6"
"Not Reported",""
"Female","23"
"Male","20"
"Others",""
"Female","21"
"Male","20"
"Rai",""
"Female","267"
"Male","230"
"Sherpa",""
"Female","1060"
"Male","1000"
"Sunuwar",""
"Female","374"
"Male","321"
"Tamang",""
"Female","1280"
"Male","1114"
"Wambule",""
"Female","17"
"Male","15"
