"Population by Five Years Age Group","Number"
"0-4",""
"Female","1468"
"Male","1430"
"10-14",""
"Female","1612"
"Male","1739"
"15-19",""
"Female","1142"
"Male","1349"
"20-24",""
"Female","907"
"Male","995"
"25-29",""
"Female","1013"
"Male","886"
"30-34",""
"Female","912"
"Male","911"
"35-39",""
"Female","746"
"Male","828"
"40-44",""
"Female","591"
"Male","631"
"45-49",""
"Female","472"
"Male","535"
"50-54",""
"Female","399"
"Male","416"
"55-59",""
"Female","319"
"Male","375"
"5-9",""
"Female","1865"
"Male","1933"
"60-64",""
"Female","345"
"Male","357"
"65-69",""
"Female","210"
"Male","236"
"70-74",""
"Female","110"
"Male","162"
"75+",""
"Female","66"
"Male","89"
