"Population by Religion","Number"
"Bahai","1"
"Bon","0"
"Buddism","14"
"Christianity","5"
"Hindu","18700"
"Islam","0"
"Jainism","0"
"Kirat","4"
"Prakriti","0"
"Sikhism","0"
"Undefined","17"
"Total","18741"
