"Population by Caste Ethinicity","Number"
"Badi",""
"Female","138"
"Male","118"
"","256"
"Brahman - Hill",""
"Female","164"
"Male","135"
"","299"
"Chhetri",""
"Female","7152"
"Male","6484"
"","13636"
"Dalit Others",""
"Female","150"
"Male","110"
"","260"
"Damai/Dholi",""
"Female","285"
"Male","241"
"","526"
"Kami",""
"Female","808"
"Male","707"
"","1515"
"Kumal",""
"Female","23"
"Male","26"
"","49"
"Lohar",""
"Female","29"
"Male","25"
"","54"
"Others",""
"Female","20"
"Male","20"
"","40"
"Sanyasi/Dasnami",""
"Female","295"
"Male","309"
"","604"
"Sarki",""
"Female","356"
"Male","324"
"","680"
"Terai Others",""
"Female","16"
"Male","10"
"","26"
"Thakuri",""
"Female","270"
"Male","222"
"","492"
"Tharu",""
"Female","72"
"Male","66"
"","138"
