"Number of households by type of outer wall","Number"
"BambooWall","2089"
"Cement Bonded Bricks/Stone Wall","212587"
"Mud Bonded Bricks/Stone Wall","30040"
"Not Stated about Wall","7002"
"Other Type Wall","691"
"Unbaked Bricks","307"
"Wood/Planks","1576"
"Total","254292"
