"Number of Households by Usage of Cooking Fuel","Number"
"Bio-Gas Fuel","40"
"Cow Dung","82"
"Electricity Fuel","142"
"KeroseneFuel","7541"
"LP Gas","239297"
"Not Sated about Fuel","2154"
"OthersFuel","597"
"Wood/FireWood","4439"
"Total","254292"
