"Number of Households by Type of Roof","Number"
"Galvanized Iron Plate","37317"
"Mud Roof","27"
"Not Sated Roof","7554"
"Other Type of Roof","423"
"RCC Roof","204824"
"Thatch/Straw Roof","875"
"Tile/Slate Roof","2614"
"Wood/Planks Roof","658"
"Total","254292"
