"Population by Caste/Ethinicity","Number"
"Brahman - Hill",""
"Female","1254"
"Male","1083"
"Chhetri",""
"Female","265"
"Male","212"
"Dalit Others",""
"Female","24"
"Male","19"
"Damai/Dholi",""
"Female","288"
"Male","248"
"Gurung",""
"Female","12"
"Male","11"
"Kami",""
"Female","294"
"Male","271"
"Limbu",""
"Female","8292"
"Male","7184"
"Magar",""
"Female","53"
"Male","37"
"Newar",""
"Female","209"
"Male","153"
"Others",""
"Female","24"
"Male","27"
"Rai",""
"Female","490"
"Male","439"
"Sarki",""
"Female","28"
"Male","30"
"Sherpa",""
"Female","8"
"Male","9"
"Sunuwar",""
"Female","55"
"Male","61"
"Tamang",""
"Female","1631"
"Male","1297"
"Terai Others",""
"Female","2"
"Male","12"
"Undefined Others",""
"Female","23"
"Male","15"
