"Population by Five Years Age Group","Number"
"0-4",""
"Female","1100"
"Male","1105"
"10-14",""
"Female","1712"
"Male","1659"
"15-19",""
"Female","1590"
"Male","1364"
"20-24",""
"Female","1197"
"Male","775"
"25-29",""
"Female","943"
"Male","650"
"30-34",""
"Female","780"
"Male","506"
"35-39",""
"Female","695"
"Male","505"
"40-44",""
"Female","725"
"Male","564"
"45-49",""
"Female","642"
"Male","555"
"50-54",""
"Female","540"
"Male","518"
"55-59",""
"Female","432"
"Male","404"
"5-9",""
"Female","1422"
"Male","1505"
"60-64",""
"Female","431"
"Male","393"
"65-69",""
"Female","285"
"Male","268"
"70-74",""
"Female","203"
"Male","217"
"75+",""
"Female","255"
"Male","293"
