"Number of Households by Type of Roof","Number"
"Galvanized Iron Plate","73112"
"Mud Roof","33"
"Not Sated Roof","11471"
"Other Type of Roof","654"
"RCC Roof","337404"
"Thatch/Straw Roof","2741"
"Tile/Slate Roof","9215"
"Wood/Planks Roof","914"
"Total","435544"
