"Number of households by type of outer wall","Number"
"BambooWall","3558"
"Cement Bonded Bricks/Stone Wall","350265"
"Mud Bonded Bricks/Stone Wall","65556"
"Not Stated about Wall","10575"
"Other Type Wall","1161"
"Unbaked Bricks","1982"
"Wood/Planks","2447"
"Total","435544"
