"Agricultural land use area","Hectare"
"Area under arable land","8570.00"
"Area under meadows and pasture","18.00"
"Area under permanent crops","41.00"
"Area under Temporary crops","8355.00"
"Area under temporary fallow","212.00"
"Area under temporary meadows","3.00"
"Other land","867.00"
"Ponds","1.00"
"Woodland and forest","101.00"
"Total","18168.00"
