"Number of households by type of outer wall","Number"
"BambooWall","367"
"Cement Bonded Bricks/Stone Wall","8455"
"Mud Bonded Bricks/Stone Wall","9078"
"Not Stated about Wall","178"
"Other Type Wall","34"
"Unbaked Bricks","31"
"Wood/Planks","196"
"Total","18339"
