"Industries Types","Number"
"Accommodation and food","1424"
"Administrative and support service activity","67"
"Agriculture, forestry and fishing","192"
"Art, entertainment and recreation","15"
"Construction","11"
"Education","333"
"Electricty gas and water","3"
"Financial intermediation and insurance","172"
"Health and social work","165"
"Information and communications","17"
"Manufacturing","1239"
"Mining and quarrying","7"
"Other service activities","710"
"Professional,scientific and techniqual activity","107"
"Real state, renting and business activities","0"
"Transport and storage","29"
"Water supply, wet management","16"
"Wholesale and retail trade","6701"
"Total","11208"
