"Industries Employment","Number"
"Accommodation,  food",""
"Female","1304"
"Male","1764"
"Administrative, support service",""
"Female","19"
"Male","183"
"Agriculture, forestry and  fishing",""
"Female","227"
"Male","443"
"Arts, entertainment, recreation",""
"Female","26"
"Male","53"
"Construction",""
"Female","7"
"Male","69"
"Education",""
"Female","2205"
"Male","2804"
"Electricity, gas and water",""
"Female","12"
"Male","155"
"Financial intermediation and insurance",""
"Female","4898"
"Male","3286"
"Health, social work",""
"Female","1592"
"Male","380"
"Information and communication",""
"Female","44"
"Male","200"
"Manufacturing",""
"Female","2134"
"Male","7786"
"Other service activities",""
"Female","399"
"Male","921"
"Professional, scientific, techniqual activity",""
"Female","36"
"Male","184"
"Real estate, renting and business activity",""
"Female","0"
"Male","0"
"Transportation,  storage",""
"Female","47"
"Male","447"
"Water supply, wet management",""
"Female","23"
"Male","74"
"Wholesale, retail trade",""
"Female","4119"
"Male","7934"
