"Population by Five Years Age Group","Number"
"0-4",""
"Female","922"
"Male","916"
"10-14",""
"Female","1316"
"Male","1222"
"15-19",""
"Female","1291"
"Male","1162"
"20-24",""
"Female","912"
"Male","566"
"25-29",""
"Female","669"
"Male","425"
"30-34",""
"Female","526"
"Male","391"
"35-39",""
"Female","548"
"Male","402"
"40-44",""
"Female","576"
"Male","469"
"45-49",""
"Female","491"
"Male","429"
"50-54",""
"Female","439"
"Male","407"
"55-59",""
"Female","338"
"Male","304"
"5-9",""
"Female","1138"
"Male","1182"
"60-64",""
"Female","313"
"Male","269"
"65-69",""
"Female","252"
"Male","224"
"70-74",""
"Female","154"
"Male","198"
"75+",""
"Female","226"
"Male","217"
