"Population by Caste/Ethinicity","Number"
"Brahman - Hill",""
"Female","701"
"Male","569"
"Chhetri",""
"Female","1801"
"Male","1565"
"Damai/Dholi",""
"Female","330"
"Male","295"
"Gharti/Bhujel",""
"Female","274"
"Male","235"
"Gurung",""
"Female","10"
"Male","2"
"Kami",""
"Female","499"
"Male","459"
"Magar",""
"Female","741"
"Male","635"
"Newar",""
"Female","175"
"Male","161"
"Others",""
"Female","24"
"Male","34"
"Rai",""
"Female","4047"
"Male","3506"
"Sanyasi/Dasnami",""
"Female","120"
"Male","113"
"Sarki",""
"Female","206"
"Male","162"
"Sherpa",""
"Female","53"
"Male","41"
"Tamang",""
"Female","1128"
"Male","989"
"Teli",""
"Female","2"
"Male","11"
