"Population by Mother tongue","Number"
"Achhami",""
"Female","392"
"Male","263"
"","655"
"Baitadeli",""
"Female","29"
"Male","33"
"","62"
"Bajhangi",""
"Female","43"
"Male","44"
"","87"
"Bhojpuri",""
"Female","32"
"Male","45"
"","77"
"Dailekhi",""
"Female","6"
"Male","10"
"","16"
"Darchuleli",""
"Female","23"
"Male","28"
"","51"
"Doteli",""
"Female","729"
"Male","604"
"","1333"
"Magar",""
"Female","9"
"Male","9"
"","18"
"Maithili",""
"Female","237"
"Male","226"
"","463"
"Nepali",""
"Female","1385"
"Male","1236"
"","2621"
"Newar",""
"Female","14"
"Male","13"
"","27"
"Not Reported",""
"Female","15"
"Male","15"
"","30"
"Others",""
"Female","16"
"Male","19"
"","35"
"Sign Language",""
"Female","14"
"Male","15"
"","29"
"Tharu",""
"Female","21534"
"Male","20918"
"","42452"
"Urdu",""
"Female","18"
"Male","13"
"","31"
