"Population by Caste Ethinicity","Number"
"Badi",""
"Female","33"
"Male","16"
"","49"
"Brahman - Hill",""
"Female","490"
"Male","440"
"","930"
"Brahman - Tarai",""
"Female","7"
"Male","15"
"","22"
"Chhetri",""
"Female","896"
"Male","768"
"","1664"
"Dalit Others",""
"Female","141"
"Male","112"
"","253"
"Damai/Dholi",""
"Female","134"
"Male","112"
"","246"
"Gurung",""
"Female","9"
"Male","8"
"","17"
"Kami",""
"Female","666"
"Male","528"
"","1194"
"Lohar",""
"Female","35"
"Male","25"
"","60"
"Magar",""
"Female","122"
"Male","107"
"","229"
"Musalman",""
"Female","20"
"Male","18"
"","38"
"Newar",""
"Female","17"
"Male","16"
"","33"
"Others",""
"Female","30"
"Male","17"
"","47"
"Rajbansi",""
"Female","20"
"Male","13"
"","33"
"Sanyasi/Dasnami",""
"Female","8"
"Male","10"
"","18"
"Sarki",""
"Female","51"
"Male","55"
"","106"
"Thakuri",""
"Female","94"
"Male","100"
"","194"
"Tharu",""
"Female","21723"
"Male","21131"
"","42854"
