"Agricultural land use area","Hectare"
"Area under arable land","30407.00"
"Area under meadows and pasture","1350.00"
"Area under permanent crops","3149.00"
"Area under Temporary crops","29082.00"
"Area under temporary fallow","968.00"
"Area under temporary meadows","356.00"
"Other land","1636.00"
"Ponds","45.00"
"Woodland and forest","3121.00"
"Total","70114.00"
