"Population by Religion","Number"
"Bahai","7"
"Bon","4"
"Buddism","132245"
"Christianity","6786"
"Hindu","238994"
"Islam","318"
"Jainism","3"
"Kirat","61"
"Prakriti","2286"
"Sikhism","3"
"Undefined","1230"
"Total","381937"
