"Number of households by type of outer wall","Number"
"BambooWall","253"
"Cement Bonded Bricks/Stone Wall","10997"
"Mud Bonded Bricks/Stone Wall","66442"
"Not Stated about Wall","1018"
"Other Type Wall","198"
"Unbaked Bricks","1325"
"Wood/Planks","418"
"Total","80651"
