"Number of Households by Type of Roof","Number"
"Galvanized Iron Plate","175"
"Mud Roof","0"
"Not Sated Roof","128"
"Other Type of Roof","5"
"RCC Roof","500"
"Thatch/Straw Roof","382"
"Tile/Slate Roof","6995"
"Wood/Planks Roof","44"
"Total","8229"
