"Population by Religion","Number"
"Bahai","0"
"Bon","1"
"Buddism","4198"
"Christianity","245"
"Hindu","2224"
"Islam","1"
"Jainism","0"
"Kirat","6584"
"Prakriti","0"
"Sikhism","0"
"Undefined","31"
"Total","13284"
