"Population by Caste/Ethinicity","Number"
"Badi",""
"Female","11"
"Male","14"
"Brahman - Hill",""
"Female","5104"
"Male","3747"
"Brahmu/ Baramo",""
"Female","423"
"Male","337"
"Chhetri",""
"Female","1263"
"Male","953"
"Damai/Dholi",""
"Female","338"
"Male","271"
"Darai",""
"Female","132"
"Male","121"
"Gaine",""
"Female","10"
"Male","12"
"Ghale",""
"Female","5"
"Male","6"
"Gharti/Bhujel",""
"Female","82"
"Male","61"
"Gurung",""
"Female","151"
"Male","98"
"Kami",""
"Female","564"
"Male","427"
"Kumal",""
"Female","410"
"Male","349"
"Magar",""
"Female","741"
"Male","600"
"Musalman",""
"Female","278"
"Male","200"
"Newar",""
"Female","1535"
"Male","1181"
"Others",""
"Female","35"
"Male","19"
"Sarki",""
"Female","1311"
"Male","1016"
"Tamang",""
"Female","144"
"Male","84"
