"Population by Caste/Ethinicity","Number"
"Brahman - Hill",""
"Female","147"
"Male","147"
"Chhetri",""
"Female","3374"
"Male","3232"
"Damai/Dholi",""
"Female","86"
"Male","100"
"Gurung",""
"Female","101"
"Male","83"
"Kami",""
"Female","489"
"Male","465"
"Magar",""
"Female","556"
"Male","564"
"Newar",""
"Female","22"
"Male","15"
"Others",""
"Female","7"
"Male","4"
"Sanyasi/Dasnami",""
"Female","18"
"Male","21"
"Sarki",""
"Female","147"
"Male","133"
"Tamang",""
"Female","11"
"Male","16"
"Thakuri",""
"Female","180"
"Male","186"
