"Population by Five Years Age Group","Number"
"0-4",""
"Female","753"
"Male","766"
"10-14",""
"Female","719"
"Male","676"
"15-19",""
"Female","505"
"Male","452"
"20-24",""
"Female","480"
"Male","437"
"25-29",""
"Female","328"
"Male","468"
"30-34",""
"Female","311"
"Male","318"
"35-39",""
"Female","290"
"Male","285"
"40-44",""
"Female","226"
"Male","234"
"45-49",""
"Female","210"
"Male","202"
"50-54",""
"Female","164"
"Male","178"
"55-59",""
"Female","151"
"Male","157"
"5-9",""
"Female","750"
"Male","741"
"60-64",""
"Female","133"
"Male","128"
"65-69",""
"Female","65"
"Male","66"
"70-74",""
"Female","33"
"Male","37"
"75+",""
"Female","20"
"Male","30"
