"Number of households by type of outer wall","Number"
"BambooWall","395"
"Cement Bonded Bricks/Stone Wall","9966"
"Mud Bonded Bricks/Stone Wall","1773"
"Not stated","137"
"Others","246"
"Unbaked Bricks","35"
"Wood/Planks","1071"
"Total","13623"
