"Population by Five Years Age Group","Number"
"0-4",""
"Female","1542"
"Male","1575"
"10-14",""
"Female","1693"
"Male","1831"
"15-19",""
"Female","994"
"Male","1206"
"20-24",""
"Female","939"
"Male","946"
"25-29",""
"Female","1017"
"Male","953"
"30-34",""
"Female","942"
"Male","870"
"35-39",""
"Female","760"
"Male","799"
"40-44",""
"Female","692"
"Male","702"
"45-49",""
"Female","501"
"Male","593"
"50-54",""
"Female","375"
"Male","469"
"55-59",""
"Female","367"
"Male","336"
"5-9",""
"Female","1919"
"Male","2107"
"60-64",""
"Female","355"
"Male","388"
"65-69",""
"Female","273"
"Male","274"
"70-74",""
"Female","187"
"Male","207"
"75+",""
"Female","142"
"Male","131"
