"Population by Caste/Ethinicity","Number"
"Brahman - Hill",""
"Female","5771"
"Male","4203"
"Brahman - Tarai",""
"Female","7"
"Male","5"
"Chhetri",""
"Female","4201"
"Male","2991"
"Damai/Dholi",""
"Female","459"
"Male","327"
"Gharti/Bhujel",""
"Female","38"
"Male","37"
"Gurung",""
"Female","6"
"Male","15"
"Kami",""
"Female","2493"
"Male","1890"
"Magar",""
"Female","2061"
"Male","1616"
"Newar",""
"Female","122"
"Male","84"
"Others",""
"Female","29"
"Male","14"
"Sanyasi/Dasnami",""
"Female","28"
"Male","22"
"Sarki",""
"Female","939"
"Male","651"
"Terai Others",""
"Female","6"
"Male","5"
"Thakuri",""
"Female","15"
"Male","9"
