"Population by Five Years Age Group","Number"
"0-4",""
"Female","1449"
"Male","1702"
"10-14",""
"Female","2041"
"Male","1989"
"15-19",""
"Female","1883"
"Male","1184"
"20-24",""
"Female","1535"
"Male","535"
"25-29",""
"Female","1272"
"Male","442"
"30-34",""
"Female","906"
"Male","403"
"35-39",""
"Female","895"
"Male","367"
"40-44",""
"Female","844"
"Male","442"
"45-49",""
"Female","815"
"Male","445"
"50-54",""
"Female","655"
"Male","545"
"55-59",""
"Female","509"
"Male","477"
"5-9",""
"Female","1774"
"Male","1820"
"60-64",""
"Female","521"
"Male","447"
"65-69",""
"Female","413"
"Male","352"
"70-74",""
"Female","283"
"Male","301"
"75+",""
"Female","380"
"Male","418"
