"Population by Religion","Number"
"Bahai","0"
"Bon","0"
"Buddism","1421"
"Christianity","1004"
"Hindu","4576"
"Islam","10"
"Jainism","0"
"Kirat","14471"
"Prakriti","19"
"Sikhism","0"
"Undefined","36"
"Total","21537"
