"Population by Caste/Ethinicity","Number"
"Bhote",""
"Female","12"
"Male","16"
"Brahman - Hill",""
"Female","281"
"Male","258"
"Chhetri",""
"Female","1441"
"Male","1287"
"Damai/Dholi",""
"Female","151"
"Male","123"
"Danuwar",""
"Female","44"
"Male","47"
"Gharti/Bhujel",""
"Female","99"
"Male","104"
"Gurung",""
"Female","151"
"Male","156"
"Hyolmo",""
"Female","597"
"Male","543"
"Kami",""
"Female","401"
"Male","346"
"Magar",""
"Female","18"
"Male","32"
"Newar",""
"Female","471"
"Male","482"
"Others",""
"Female","25"
"Male","47"
"Sanyasi/Dasnami",""
"Female","378"
"Male","353"
"Sarki",""
"Female","173"
"Male","206"
"Sherpa",""
"Female","68"
"Male","67"
"Tamang",""
"Female","5930"
"Male","6516"
"Thakuri",""
"Female","14"
"Male","11"
"Yadav",""
"Female","1"
"Male","11"
