"Number of households by type of outer wall","Number"
"BambooWall","5837"
"Cement Bonded Bricks/Stone Wall","9538"
"Mud Bonded Bricks/Stone Wall","125"
"Not stated","317"
"Others","352"
"Unbaked Bricks","46"
"Wood/Planks","1889"
"Total","18104"
