"Number of households by type of outer wall","Number"
"BambooWall","3410"
"Cement Bonded Bricks/Stone Wall","1349"
"Mud Bonded Bricks/Stone Wall","629"
"Not stated","221"
"Others","3"
"Unbaked Bricks","54"
"Wood/Planks","151"
"Total","5817"
