"Number of households by type of outer wall","Number"
"BambooWall","2352"
"Cement Bonded Bricks/Stone Wall","1089"
"Mud Bonded Bricks/Stone Wall","223"
"Not stated","59"
"Others","1"
"Unbaked Bricks","99"
"Wood/Planks","180"
"Total","4003"
