"Industries Types","Number"
"Accommodation and food","349"
"Administrative and support service activity","7"
"Agriculture, forestry and fishing","50"
"Art, entertainment and recreation","0"
"Construction","4"
"Education","146"
"Electricty gas and water","13"
"Financial intermediation and insurance","29"
"Health and social work","84"
"Information and communications","7"
"Manufacturing","597"
"Mining and quarrying","0"
"Other service activities","81"
"Professional,scientific and techniqual activity","5"
"Real state, renting and business activities","0"
"Transport and storage","5"
"Water supply, wet management","2"
"Wholesale and retail trade","637"
"Total","2016"
