"Agricultural land use area","Hectare"
"Area under arable land","29134.09"
"Area under meadows and pasture","325.64"
"Area under permanent crops","18021.60"
"Area under Temporary crops","28166.55"
"Area under temporary fallow","719.38"
"Area under temporary meadows","248.17"
"Other land","2109.91"
"Ponds","18.66"
"Woodland and forest","3784.44"
