"Population by Mother tongue","Number"
"Bahing",""
"Female","59"
"Male","60"
"Bangla",""
"Female","6"
"Male","32"
"Bantawa",""
"Female","12324"
"Male","11871"
"Bhojpuri",""
"Female","69"
"Male","91"
"Bhujel",""
"Female","432"
"Male","443"
"Bote",""
"Female","271"
"Male","270"
"Byansi",""
"Female","55"
"Male","51"
"Chamling",""
"Female","1536"
"Male","1475"
"Danuwar",""
"Female","10"
"Male","12"
"Dhimal",""
"Female","34"
"Male","37"
"Doteli",""
"Female","28"
"Male","22"
"Dumi",""
"Female","102"
"Male","72"
"Dungmali",""
"Female","31"
"Male","30"
"Gurung",""
"Female","3233"
"Male","2905"
"Hayu/Vayu",""
"Female","14"
"Male","15"
"Hindi",""
"Female","81"
"Male","115"
"Hyolmo/Yholmo",""
"Female","343"
"Male","291"
"Khaling",""
"Female","281"
"Male","286"
"Khash",""
"Female","18"
"Male","8"
"Koyee",""
"Female","49"
"Male","50"
"Kulung",""
"Female","835"
"Male","867"
"Kumal",""
"Female","52"
"Male","47"
"Lapcha",""
"Female","1290"
"Male","1373"
"Limbu",""
"Female","21550"
"Male","19878"
"Lingkhim",""
"Female","37"
"Male","28"
"Lohorung",""
"Female","49"
"Male","33"
"Magar",""
"Female","6904"
"Male","6301"
"Maithili",""
"Female","391"
"Male","455"
"Majhi",""
"Female","54"
"Male","37"
"Mewahang",""
"Female","452"
"Male","442"
"Nachhiring",""
"Female","174"
"Male","163"
"Nepali",""
"Female","64094"
"Male","59020"
"Newar",""
"Female","2989"
"Male","2934"
"Not Reported",""
"Female","588"
"Male","535"
"Others",""
"Female","2119"
"Male","2076"
"Puma",""
"Female","20"
"Male","31"
"Rai",""
"Female","12358"
"Male","11505"
"Rajbanshi",""
"Female","28"
"Male","35"
"Rajsthani",""
"Female","69"
"Male","105"
"Sam",""
"Female","135"
"Male","137"
"Sampang",""
"Female","709"
"Male","779"
"Sanskrit",""
"Female","252"
"Male","234"
"Santhali",""
"Female","10"
"Male","11"
"Sherpa",""
"Female","1781"
"Male","1710"
"Sign Language",""
"Female","11"
"Male","13"
"Sunuwar",""
"Female","1560"
"Male","1424"
"Tajpuriya",""
"Female","7"
"Male","7"
"Tamang",""
"Female","8932"
"Male","8378"
"Thami",""
"Female","329"
"Male","383"
"Tharu",""
"Female","30"
"Male","30"
"Thulung",""
"Female","543"
"Male","545"
"Uranw/Urau",""
"Female","21"
"Male","26"
"Urdu",""
"Female","15"
"Male","42"
"Wambule",""
"Female","39"
"Male","29"
"Yakkha",""
"Female","782"
"Male","718"
"Yamphu/Yamphe",""
"Female","658"
"Male","622"
