"Industries Employment","Number"
"Accommodation,  food",""
"Female","1092"
"Male","1036"
"Administrative, support service",""
"Female","6"
"Male","100"
"Agriculture, forestry and  fishing",""
"Female","1262"
"Male","1624"
"Arts, entertainment, recreation",""
"Female","35"
"Male","73"
"Construction",""
"Female","11"
"Male","109"
"Education",""
"Female","3053"
"Male","3090"
"Electricity, gas and water",""
"Female","22"
"Male","261"
"Financial intermediation and insurance",""
"Female","888"
"Male","845"
"Health, social work",""
"Female","1359"
"Male","471"
"Information and communication",""
"Female","37"
"Male","80"
"Manufacturing",""
"Female","860"
"Male","1982"
"Other service activities",""
"Female","1408"
"Male","1417"
"Professional, scientific, techniqual activity",""
"Female","31"
"Male","83"
"Real estate, renting and business activity",""
"Female","0"
"Male","0"
"Transportation,  storage",""
"Female","61"
"Male","182"
"Water supply, wet management",""
"Female","18"
"Male","69"
"Wholesale, retail trade",""
"Female","4065"
"Male","4448"
