"Population by Five Years Age Group","Number"
"0-4",""
"Female","650"
"Male","658"
"10-14",""
"Female","1244"
"Male","1060"
"15-19",""
"Female","1139"
"Male","947"
"20-24",""
"Female","862"
"Male","552"
"25-29",""
"Female","651"
"Male","440"
"30-34",""
"Female","578"
"Male","384"
"35-39",""
"Female","533"
"Male","383"
"40-44",""
"Female","507"
"Male","410"
"45-49",""
"Female","455"
"Male","405"
"50-54",""
"Female","425"
"Male","436"
"55-59",""
"Female","295"
"Male","285"
"5-9",""
"Female","867"
"Male","875"
"60-64",""
"Female","287"
"Male","245"
"65-69",""
"Female","212"
"Male","213"
"70-74",""
"Female","161"
"Male","166"
"75+",""
"Female","232"
"Male","220"
