"Population by Caste/Ethinicity","Number"
"Badi",""
"Female","284"
"Male","233"
"Bangali",""
"Female","23"
"Male","20"
"Brahman - Hill",""
"Female","1360"
"Male","1105"
"Chhetri",""
"Female","5603"
"Male","4884"
"Dalit Others",""
"Female","15"
"Male","7"
"Damai/Dholi",""
"Female","879"
"Male","708"
"Kami",""
"Female","1370"
"Male","1118"
"Kumal",""
"Female","192"
"Male","160"
"Lohar",""
"Female","528"
"Male","474"
"Magar",""
"Female","51"
"Male","39"
"Others",""
"Female","32"
"Male","35"
"Sanyasi/Dasnami",""
"Female","196"
"Male","180"
"Sarki",""
"Female","526"
"Male","440"
"Teli",""
"Female","109"
"Male","97"
"Terai Others",""
"Female","11"
"Male","13"
"Thakuri",""
"Female","523"
"Male","462"
