"Population by Five Years Age Group","Number"
"0-4",""
"Female","1443"
"Male","1590"
"10-14",""
"Female","1784"
"Male","1658"
"15-19",""
"Female","1150"
"Male","1008"
"20-24",""
"Female","826"
"Male","544"
"25-29",""
"Female","765"
"Male","500"
"30-34",""
"Female","736"
"Male","482"
"35-39",""
"Female","635"
"Male","451"
"40-44",""
"Female","543"
"Male","375"
"45-49",""
"Female","410"
"Male","325"
"50-54",""
"Female","348"
"Male","312"
"55-59",""
"Female","295"
"Male","258"
"5-9",""
"Female","1693"
"Male","1737"
"60-64",""
"Female","359"
"Male","261"
"65-69",""
"Female","279"
"Male","199"
"70-74",""
"Female","227"
"Male","153"
"75+",""
"Female","212"
"Male","142"
