"Number of households by type of outer wall","Number"
"BambooWall","2128"
"Cement Bonded Bricks/Stone Wall","792"
"Mud Bonded Bricks/Stone Wall","1316"
"Not Stated about Wall","48"
"Other Type Wall","192"
"Unbaked Bricks","160"
"Wood/Planks","71"
"Total","4707"
