"Population by Caste/Ethinicity","Number"
"Brahman - Hill",""
"Female","1288"
"Male","1076"
"Brahmu/ Baramo",""
"Female","1112"
"Male","890"
"Chhetri",""
"Female","2010"
"Male","1562"
"Damai/Dholi",""
"Female","304"
"Male","257"
"Darai",""
"Female","65"
"Male","48"
"Ghale",""
"Female","438"
"Male","358"
"Gharti/Bhujel",""
"Female","21"
"Male","20"
"Gurung",""
"Female","4158"
"Male","3317"
"Kami",""
"Female","827"
"Male","671"
"Magar",""
"Female","1061"
"Male","809"
"Majhi",""
"Female","26"
"Male","17"
"Musalman",""
"Female","52"
"Male","46"
"Newar",""
"Female","658"
"Male","548"
"Others",""
"Female","28"
"Male","38"
"Rai",""
"Female","16"
"Male","8"
"Sanyasi/Dasnami",""
"Female","26"
"Male","23"
"Sarki",""
"Female","739"
"Male","578"
"Tamang",""
"Female","411"
"Male","365"
"Thakuri",""
"Female","5"
"Male","8"
