"Number of households by type of outer wall","Number"
"BambooWall","2725"
"Cement Bonded Bricks/Stone Wall","488"
"Mud Bonded Bricks/Stone Wall","1780"
"Not Stated about Wall","59"
"Other Type Wall","858"
"Unbaked Bricks","106"
"Wood/Planks","1251"
"Total","7267"
