"Industries Types","Number"
"Accommodation and food","1070"
"Administrative and support service activity","10"
"Agriculture, forestry and fishing","388"
"Art, entertainment and recreation","15"
"Construction","14"
"Education","382"
"Electricty gas and water","5"
"Financial intermediation and insurance","186"
"Health and social work","215"
"Information and communications","26"
"Manufacturing","683"
"Mining and quarrying","0"
"Other service activities","340"
"Professional,scientific and techniqual activity","47"
"Real state, renting and business activities","1"
"Transport and storage","28"
"Water supply, wet management","42"
"Wholesale and retail trade","2545"
"Total","5997"
