"Industries Employment","Number"
"Accommodation,  food",""
"Female","1305"
"Male","901"
"Administrative, support service",""
"Female","6"
"Male","15"
"Agriculture, forestry and  fishing",""
"Female","389"
"Male","595"
"Arts, entertainment, recreation",""
"Female","6"
"Male","21"
"Construction",""
"Female","32"
"Male","100"
"Education",""
"Female","1684"
"Male","2053"
"Electricity, gas and water",""
"Female","4"
"Male","31"
"Financial intermediation and insurance",""
"Female","275"
"Male","372"
"Health, social work",""
"Female","316"
"Male","318"
"Information and communication",""
"Female","34"
"Male","95"
"Manufacturing",""
"Female","617"
"Male","1302"
"Other service activities",""
"Female","210"
"Male","336"
"Professional, scientific, techniqual activity",""
"Female","21"
"Male","66"
"Real estate, renting and business activity",""
"Female","0"
"Male","1"
"Transportation,  storage",""
"Female","32"
"Male","115"
"Water supply, wet management",""
"Female","10"
"Male","89"
"Wholesale, retail trade",""
"Female","2194"
"Male","2275"
