"Population by Religion","Number"
"Bahai","0"
"Bon","0"
"Buddism","5099"
"Christianity","3741"
"Hindu","707"
"Islam","0"
"Jainism","0"
"Kirat","0"
"Prakriti","4"
"Sikhism","0"
"Undefined","11"
"Total","9562"
