"Population by Five Years Age Group","Number"
"0-4",""
"Female","1115"
"Male","1186"
"10-14",""
"Female","1721"
"Male","1704"
"15-19",""
"Female","1408"
"Male","1111"
"20-24",""
"Female","1137"
"Male","620"
"25-29",""
"Female","943"
"Male","515"
"30-34",""
"Female","787"
"Male","451"
"35-39",""
"Female","655"
"Male","466"
"40-44",""
"Female","564"
"Male","453"
"45-49",""
"Female","473"
"Male","410"
"50-54",""
"Female","446"
"Male","409"
"55-59",""
"Female","363"
"Male","362"
"5-9",""
"Female","1426"
"Male","1429"
"60-64",""
"Female","300"
"Male","279"
"65-69",""
"Female","171"
"Male","180"
"70-74",""
"Female","84"
"Male","86"
"75+",""
"Female","97"
"Male","101"
