"Population by Caste/Ethinicity","Number"
"Badi",""
"Female","22"
"Male","16"
"Brahman - Hill",""
"Female","468"
"Male","456"
"Chhetri",""
"Female","6118"
"Male","5052"
"Damai/Dholi",""
"Female","210"
"Male","175"
"Kami",""
"Female","1404"
"Male","1185"
"Magar",""
"Female","1771"
"Male","1448"
"Musalman",""
"Female","52"
"Male","36"
"Newar",""
"Female","29"
"Male","27"
"Others",""
"Female","14"
"Male","8"
"Sanyasi/Dasnami",""
"Female","448"
"Male","361"
"Sarki",""
"Female","497"
"Male","421"
"Thakuri",""
"Female","651"
"Male","572"
"Tharu",""
"Female","6"
"Male","5"
