"Industries Types","Number"
"Accommodation and food","2974"
"Administrative and support service activity","69"
"Agriculture, forestry and fishing","249"
"Art, entertainment and recreation","52"
"Construction","31"
"Education","846"
"Electricty gas and water","36"
"Financial intermediation and insurance","285"
"Health and social work","447"
"Information and communications","53"
"Manufacturing","2308"
"Mining and quarrying","3"
"Other service activities","1465"
"Professional,scientific and techniqual activity","239"
"Real state, renting and business activities","2"
"Transport and storage","31"
"Water supply, wet management","14"
"Wholesale and retail trade","12440"
"Total","21544"
