"Industries Employment","Number"
"Accommodation,  food",""
"Female","2918"
"Male","4401"
"Administrative, support service",""
"Female","44"
"Male","294"
"Agriculture, forestry and  fishing",""
"Female","242"
"Male","766"
"Arts, entertainment, recreation",""
"Female","34"
"Male","161"
"Construction",""
"Female","34"
"Male","357"
"Education",""
"Female","4711"
"Male","6984"
"Electricity, gas and water",""
"Female","44"
"Male","272"
"Financial intermediation and insurance",""
"Female","911"
"Male","1740"
"Health, social work",""
"Female","1060"
"Male","1310"
"Information and communication",""
"Female","137"
"Male","351"
"Manufacturing",""
"Female","3545"
"Male","7621"
"Other service activities",""
"Female","774"
"Male","2212"
"Professional, scientific, techniqual activity",""
"Female","91"
"Male","470"
"Real estate, renting and business activity",""
"Female","2"
"Male","2"
"Transportation,  storage",""
"Female","24"
"Male","122"
"Water supply, wet management",""
"Female","42"
"Male","49"
"Wholesale, retail trade",""
"Female","8637"
"Male","16351"
