"Industries Types","Number"
"Accommodation and food","6073"
"Administrative and support service activity","305"
"Agriculture, forestry and fishing","457"
"Art, entertainment and recreation","264"
"Construction","46"
"Education","982"
"Electricty gas and water","9"
"Financial intermediation and insurance","586"
"Health and social work","604"
"Information and communications","100"
"Manufacturing","2896"
"Mining and quarrying","3"
"Other service activities","1759"
"Professional,scientific and techniqual activity","295"
"Real state, renting and business activities","6"
"Transport and storage","58"
"Water supply, wet management","105"
"Wholesale and retail trade","16197"
"Total","30745"
