"Industries Employment","Number"
"Accommodation,  food",""
"Female","9033"
"Male","12804"
"Administrative, support service",""
"Female","332"
"Male","1165"
"Agriculture, forestry and  fishing",""
"Female","652"
"Male","1249"
"Arts, entertainment, recreation",""
"Female","263"
"Male","990"
"Construction",""
"Female","27"
"Male","433"
"Education",""
"Female","8552"
"Male","10178"
"Electricity, gas and water",""
"Female","11"
"Male","197"
"Financial intermediation and insurance",""
"Female","2911"
"Male","3179"
"Health, social work",""
"Female","3492"
"Male","2786"
"Information and communication",""
"Female","293"
"Male","981"
"Manufacturing",""
"Female","3363"
"Male","8255"
"Other service activities",""
"Female","1536"
"Male","2455"
"Professional, scientific, techniqual activity",""
"Female","285"
"Male","730"
"Real estate, renting and business activity",""
"Female","23"
"Male","39"
"Transportation,  storage",""
"Female","72"
"Male","316"
"Water supply, wet management",""
"Female","67"
"Male","375"
"Wholesale, retail trade",""
"Female","15005"
"Male","19696"
