"Agricultural land use area","Hectare"
"Area under arable land","35745.39"
"Area under meadows and pasture","215.88"
"Area under permanent crops","1377.18"
"Area under Temporary crops","35396.20"
"Area under temporary fallow","300.85"
"Area under temporary meadows","48.35"
"Other land","2721.15"
"Ponds","183.48"
"Woodland and forest","388.51"
