"Number of households by type of outer wall","Number"
"BambooWall","11252"
"Cement Bonded Bricks/Stone Wall","74495"
"Mud Bonded Bricks/Stone Wall","27644"
"Not stated","1174"
"Others","6333"
"Unbaked Bricks","1996"
"Wood/Planks","9451"
"Total","132345"
