"Population by Caste/Ethinicity","Number"
"Badi",""
"Female","8"
"Male","4"
"Brahman - Hill",""
"Female","862"
"Male","691"
"Brahman - Tarai",""
"Female","122"
"Male","78"
"Chhetri",""
"Female","3549"
"Male","2919"
"Dalit Others",""
"Female","282"
"Male","261"
"Damai/Dholi",""
"Female","544"
"Male","458"
"Dhanuk",""
"Female","69"
"Male","42"
"Janajati Others",""
"Female","42"
"Male","29"
"Kami",""
"Female","571"
"Male","459"
"Lohar",""
"Female","789"
"Male","654"
"Magar",""
"Female","7"
"Male","7"
"Others",""
"Female","26"
"Male","8"
"Sarki",""
"Female","693"
"Male","669"
"Thakuri",""
"Female","2718"
"Male","2205"
