"Industries Types","Number"
"Accommodation and food","1540"
"Administrative and support service activity","163"
"Agriculture, forestry and fishing","126"
"Art, entertainment and recreation","26"
"Construction","11"
"Education","501"
"Electricty gas and water","1"
"Financial intermediation and insurance","280"
"Health and social work","230"
"Information and communications","52"
"Manufacturing","1646"
"Mining and quarrying","1"
"Other service activities","1138"
"Professional,scientific and techniqual activity","121"
"Real state, renting and business activities","0"
"Transport and storage","97"
"Water supply, wet management","67"
"Wholesale and retail trade","9725"
"Total","15725"
