"Industries Employment","Number"
"Accommodation,  food",""
"Female","798"
"Male","2923"
"Administrative, support service",""
"Female","33"
"Male","841"
"Agriculture, forestry and  fishing",""
"Female","34"
"Male","321"
"Arts, entertainment, recreation",""
"Female","14"
"Male","110"
"Construction",""
"Female","5"
"Male","58"
"Education",""
"Female","2475"
"Male","4258"
"Electricity, gas and water",""
"Female","0"
"Male","2"
"Financial intermediation and insurance",""
"Female","440"
"Male","1432"
"Health, social work",""
"Female","1427"
"Male","2418"
"Information and communication",""
"Female","50"
"Male","337"
"Manufacturing",""
"Female","868"
"Male","8744"
"Other service activities",""
"Female","205"
"Male","1759"
"Professional, scientific, techniqual activity",""
"Female","6"
"Male","283"
"Real estate, renting and business activity",""
"Female","0"
"Male","0"
"Transportation,  storage",""
"Female","22"
"Male","375"
"Water supply, wet management",""
"Female","22"
"Male","506"
"Wholesale, retail trade",""
"Female","2892"
"Male","16432"
